Site_ID,Area,Localization_ID,Type,Destroyed,Outliers_soil,Sowing_1st,Sowing_2nd,Germ_2ndyear,Presence_April_22,Presence_April_23,Presence_April_24,Persistence_1,Persistence_2,Feb_22,April_22,October_22,November_22,April_23,FT-04-23,Cohort,First_FT_julianday,100_FT_julianday,FT_variation,harvested_leaves,harvested_seeds,FT_10-2023,EndMarch_24
1,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,20,4,15,14,16,14,spring,79,119,41,07/04/23,28/05/23,0,15
2,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,No,Yes,No,1,NA,0,0,0,0,1,1,spring,96,96,1,07/04/23,,0,0
3,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,4,3,1,2,2,autumn,79,96,18,07/04/23,,0,1
4,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,0,0,1,1,0,0,autumn,NA,NA,NA,,,0,0
5,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,10,5,43,32,0,0,autumn,NA,NA,NA,,,0,0
6,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,5,2,0,0,0,0,autumn,NA,NA,NA,,,0,0
7,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,1,24,22,4,3,autumn,79,119,41,07/04/23,,1,39
8,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,5,6,7,3,0,autumn,96,96,1,07/04/23,,0,11
9,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,1,1,0,0,0,0,autumn,NA,NA,NA,,,0,0
10,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,2,1,6,4,1,0,autumn,119,119,1,07/04/23,,0,0
11,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,Yes,3,3,5,0,0,0,0,0,autumn,NA,NA,NA,,,0,1
12,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,1,0,0,14,0,0,autumn,NA,NA,NA,,,0,0
13,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,0,0,0,2,0,spring,119,119,1,07/04/23,,0,4
14,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,1,1,16,11,2,2,autumn,87,87,1,07/04/23,,0,3
15,Marsdof,147,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,3,2,0,0,0,0,autumn,NA,NA,NA,,,0,0
