id_f5_parent,pop,ecotype,run,group,dormtest_start,dormtest_end,seed_count_germinated,seed_count_total,seed_count_total_with_black_seeds,has_fungi,has_strong_fungi,notes
34-1,34,Grass,1,1,2025-05-13,2025-05-20,1,67,67,FALSE,FALSE,NA
487-12,487,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
450-3,450,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
462-3,462,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
173-8,173,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
409-4,409,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
451-1,451,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
34-6,34,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
104-10,104,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
35-8,35,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
264-2,264,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
441-1,441,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
191-6,191,Pavement,1,1,2025-05-13,2025-05-20,6,52,52,TRUE,FALSE,NA
183-17,183,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
34-15,34,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
469-2,469,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
206-3,206,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
448-4,448,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
471-4,471,Pavement,1,1,2025-05-13,2025-05-20,3,117,117,FALSE,FALSE,NA
466-1,466,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
114-4,114,Pavement,1,1,2025-05-13,2025-05-20,2,24,24,FALSE,FALSE,NA
429-1,429,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
233-19,233,Tree Bed,1,1,2025-05-13,2025-05-20,1,58,58,FALSE,FALSE,NA
484-21,484,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
35-17,35,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
45-7,45,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
456-2,456,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
424-2,424,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
258-18,258,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
1-1,1,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
213-3,213,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
361-3,361,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
409-15,409,Pavement,1,1,2025-05-13,2025-05-20,10,69,69,FALSE,FALSE,NA
113-1,113,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
482-12,482,Wall,1,1,2025-05-13,2025-05-20,1,141,141,FALSE,FALSE,NA
7-2,7,Wall,1,1,2025-05-13,2025-05-20,5,87,88,TRUE,FALSE,NA
105-3,105,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
206-1,206,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
241-2,241,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
476-7,476,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
489-17,489,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
1-12,1,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
483-13,483,Wall,1,1,2025-05-13,2025-05-20,1,92,95,TRUE,FALSE,NA
472-3,472,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
438-7,438,Wall,1,1,2025-05-13,2025-05-20,4,97,97,FALSE,FALSE,NA
441-4,441,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
347-3,347,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
29-2,29,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
438-4,438,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
471-7,471,Pavement,1,1,2025-05-13,2025-05-20,1,75,75,FALSE,FALSE,NA
348-1,348,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
184-6,184,Tree Bed,1,1,2025-05-13,2025-05-20,1,80,81,TRUE,FALSE,NA
458-3,458,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
479-1,479,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
438-2,438,Wall,1,1,2025-05-13,2025-05-20,1,152,154,TRUE,FALSE,NA
471-3,471,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
433-4,433,Wall,1,1,2025-05-13,2025-05-20,13,136,144,TRUE,FALSE,NA
24-8,24,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
213-5,213,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
468-12,468,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
183-4,183,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
233-7,233,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
27-5,27,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
27-12,27,Wall,1,1,2025-05-13,2025-05-20,2,120,120,FALSE,FALSE,NA
344-1,344,Pavement,1,1,2025-05-13,2025-05-20,25,54,56,TRUE,FALSE,NA
384-10,384,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
466-4,466,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
27-6,27,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
475-1,475,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
361-1,361,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
263-8,263,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
258-20,258,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
255-4,255,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
359-5,359,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
478-14,478,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
191-8,191,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
267-17,267,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
7-7,7,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
489-19,489,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
488-16,488,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
469-4,469,Pavement,1,1,2025-05-13,2025-05-20,1,123,123,FALSE,FALSE,NA
480-7,480,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
494-3,494,Wall,1,1,2025-05-13,2025-05-20,1,142,142,FALSE,FALSE,NA
41-15,41,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
439-13,439,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
342-18,342,Pavement,1,1,2025-05-13,2025-05-20,1,130,133,TRUE,FALSE,NA
19-5,19,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
267-7,267,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
450-2,450,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
357-13,357,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
491-9,491,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
29-6,29,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
122-18,122,Pavement,1,1,2025-05-13,2025-05-20,1,79,79,FALSE,FALSE,NA
47-5,47,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
451-4,451,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
450-1,450,Grass,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
472-2,472,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
345-14,345,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
167-3,167,Tree Bed,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
406-14,406,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
468-5,468,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
206-2,206,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
169-4,169,Tree Bed,1,1,2025-05-13,2025-05-20,2,97,103,TRUE,FALSE,NA
483-7,483,Wall,1,1,2025-05-13,2025-05-20,8,77,81,TRUE,FALSE,NA
444-2,444,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,TRUE,FALSE,NA
454-9,454,Pavement,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
494-18,494,Wall,1,1,2025-05-13,2025-05-20,0,NA,NA,FALSE,FALSE,NA
474-15,474,Wall,1,1,2025-05-13,2025-05-20,1,91,91,FALSE,FALSE,NA
168-10,168,Tree Bed,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
348-12,348,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
405-6,405,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
480-11,480,Wall,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
452-9,452,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
35-5,35,Grass,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
447-9,447,Grass,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
182-1,182,Tree Bed,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
159-6,159,Tree Bed,1,2,2025-05-14,2025-05-21,1,50,50,FALSE,FALSE,NA
203-3,203,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
102-11,102,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
104-17,104,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
408-4,408,Pavement,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
347-8,347,Pavement,1,2,2025-05-14,2025-05-21,1,55,55,FALSE,FALSE,NA
47-17,47,Grass,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
357-4,357,Wall,1,2,2025-05-14,2025-05-21,0,NA,NA,FALSE,FALSE,NA
