pop,ecotype
1,Wall
2,Wall
3,Wall
4,Wall
5,Wall
6,Wall
7,Wall
8,Wall
9,Wall
10,Wall
11,Wall
12,Wall
13,Wall
14,Wall
15,Wall
16,Wall
17,Wall
18,Wall
19,Wall
20,Wall
21,Wall
22,Wall
23,Wall
24,Wall
25,Wall
26,Wall
27,Wall
28,Wall
29,Wall
30,Grass
31,Grass
32,Grass
33,Grass
34,Grass
35,Grass
36,Grass
37,Grass
38,Grass
39,Grass
40,Grass
41,Grass
42,Grass
43,Grass
44,Pavement
45,Grass
46,Pavement
47,Grass
48,Pavement
49,Grass
50,Pavement
51,Pavement
52,Grass
53,Grass
54,Grass
55,Grass
56,Grass
57,Grass
58,Grass
59,Grass
60,Grass
61,Grass
62,Grass
63,Grass
64,Grass
65,Grass
66,Grass
67,Grass
68,Grass
69,Grass
70,Grass
71,Grass
72,Grass
73,Grass
74,Grass
75,Grass
76,Grass
77,Grass
78,Grass
79,Grass
80,Grass
81,Grass
82,Grass
83,Grass
84,Grass
85,Grass
86,Grass
87,Grass
88,Grass
89,Grass
90,Grass
91,Grass
92,Grass
93,Grass
94,Pavement
95,Pavement
96,Pavement
97,Pavement
98,Pavement
99,Pavement
100,Pavement
101,Pavement
102,Pavement
103,Pavement
104,Pavement
105,Pavement
106,Pavement
107,Pavement
108,Pavement
109,Pavement
110,Pavement
111,Pavement
112,Pavement
113,Pavement
114,Pavement
115,Pavement
116,Pavement
117,Pavement
118,Pavement
119,Pavement
120,Pavement
121,Pavement
122,Pavement
123,Pavement
124,Pavement
125,Pavement
126,Pavement
127,Pavement
128,Pavement
129,Pavement
130,Pavement
131,Pavement
132,Pavement
133,Pavement
134,Pavement
135,Pavement
136,Pavement
137,Pavement
138,Pavement
139,Pavement
140,Pavement
141,Grass
142,Grass
143,Grass
144,Grass
145,Grass
146,Grass
147,Grass
148,Grass
149,Grass
150,Grass
151,Grass
152,Grass
153,Grass
154,Pavement
155,Pavement
156,Pavement
157,Pavement
158,Pavement
159,Tree Bed
160,Tree Bed
161,Tree Bed
162,Tree Bed
163,Tree Bed
164,Tree Bed
165,Tree Bed
166,Tree Bed
167,Tree Bed
168,Tree Bed
169,Tree Bed
170,Tree Bed
171,Tree Bed
172,Tree Bed
173,Tree Bed
174,Tree Bed
175,Tree Bed
176,Tree Bed
177,Tree Bed
178,Tree Bed
179,Tree Bed
180,Tree Bed
181,Tree Bed
182,Tree Bed
183,Tree Bed
184,Tree Bed
185,Pavement
186,Pavement
187,Pavement
188,Pavement
189,Pavement
190,Pavement
191,Pavement
192,Pavement
193,Pavement
194,Pavement
195,Pavement
196,Pavement
197,Pavement
198,Pavement
199,Pavement
200,Pavement
201,Pavement
202,Pavement
203,Pavement
204,Pavement
205,Pavement
206,Wall
207,Wall
208,Grass
209,Grass
210,Pavement
211,Grass
212,Grass
213,Pavement
214,Pavement
215,Tree Bed
