id,pop,replicate,ecotype,tray,row,column,leaf_shape,leaf_edge,n_shoot_axis,elongated,serrated,is_alive_a_tha,is_above_18cm,was_pool_sampled,was_indv_sampled,sampletype,total_repl_in_pop,pop_above_3,pop_below_15,comments
494-18,494,18,Wall,1,1,1,L,G,6,1,0,FALSE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
494-19,494,19,Wall,1,1,2,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,Diff spec.
472-5,472,5,Wall,1,1,3,NA,NA,4,NA,NA,TRUE,TRUE,TRUE,FALSE,Pool,18,TRUE,FALSE,NA
472-6,472,6,Wall,1,1,4,NA,NA,5,NA,NA,FALSE,TRUE,TRUE,FALSE,Pool,18,TRUE,FALSE,NA
494-20,494,20,Wall,1,1,5,O,G,1,0,0,TRUE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
494-13,494,13,Wall,1,1,6,L,S,5,1,1,TRUE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
495-1,495,1,Wall,1,2,1,NA,NA,4,NA,NA,TRUE,TRUE,FALSE,FALSE,Not_sampled,2,FALSE,TRUE,NA
495-2,495,2,Wall,1,2,2,NA,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE,Not_sampled,2,FALSE,TRUE,May not produce seeds
472-1,472,1,Wall,1,2,3,L,G,4,1,0,TRUE,TRUE,TRUE,FALSE,Pool,18,TRUE,FALSE,NA
494-14,494,14,Wall,1,2,4,O,G,4,0,0,TRUE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
494-7,494,7,Wall,1,2,5,NA,NA,1,NA,NA,FALSE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,May not produce seeds
494-6,494,6,Wall,1,2,6,NA,NA,5,NA,NA,TRUE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
494-15,494,15,Wall,1,3,1,O,G,6,0,0,TRUE,TRUE,TRUE,FALSE,Pool,12,TRUE,TRUE,NA
