id,id_f5_parent,pop,individuum,ecotype,tray,row,column,ft,sowing_date_then_stratification,brought_to_greenhouse,not_germinated_til_2025_06_02,not_germinated_til_2025_06_04,not_germinated_til_2025_07_04,leaf_shape,leaf_edge,n_shoot_axis,height_stem,elongated,serrated,total_repl_in_pop,notes
2025-0001,478-17,478,17,Wall,1,1,1,2025-06-23,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,G,1,21,0,0,19,NA
2025-0002,452-4,452,4,Pavement,1,2,1,2025-06-28,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,S,1,11,0,1,6,NA
2025-0003,433-15,433,15,Wall,1,3,1,2025-06-27,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,L,S,1,14,1,1,18,NA
2025-0004,49-15,49,15,Grass,1,4,1,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,S,0,NA,0,1,20,NA
2025-0005,179-2,179,2,Tree Bed,1,5,1,NA,2025-05-23,2025-05-28,TRUE,TRUE,TRUE,NA,NA,0,NA,NA,NA,4,NA
2025-0006,41-8,41,8,Grass,1,6,1,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,H,0,NA,0,NA,15,NA
2025-0007,120-4,120,4,Pavement,1,7,1,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,S,0,NA,0,1,5,NA
2025-0008,486-10,486,10,Wall,1,1,2,NA,2025-05-23,2025-05-28,TRUE,TRUE,TRUE,NA,NA,0,NA,NA,NA,17,NA
2025-0009,439-7,439,7,Wall,1,2,2,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,H,0,NA,0,NA,15,NA
2025-0010,7-2,7,2,Wall,1,3,2,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,H,0,NA,0,NA,18,NA
2025-0011,342-17,342,17,Pavement,1,4,2,NA,2025-05-23,2025-05-28,FALSE,FALSE,FALSE,O,H,0,NA,0,NA,18,NA
