Pop,was_pool_sampled,was_indv_sampled
1,TRUE,FALSE
102,TRUE,FALSE
104,TRUE,FALSE
105,TRUE,TRUE
106,FALSE,TRUE
113,TRUE,TRUE
120,FALSE,TRUE
122,TRUE,TRUE
159,TRUE,FALSE
161,FALSE,TRUE
167,FALSE,TRUE
168,TRUE,FALSE
169,TRUE,FALSE
172,TRUE,FALSE
173,TRUE,FALSE
177,TRUE,TRUE
180,TRUE,FALSE
182,FALSE,TRUE
183,TRUE,FALSE
184,TRUE,FALSE
187,FALSE,TRUE
19,FALSE,TRUE
191,FALSE,TRUE
203,TRUE,FALSE
205,FALSE,TRUE
206,FALSE,TRUE
213,FALSE,TRUE
232,TRUE,FALSE
233,TRUE,TRUE
24,TRUE,TRUE
241,FALSE,TRUE
255,FALSE,TRUE
258,TRUE,FALSE
263,TRUE,FALSE
264,TRUE,TRUE
265,TRUE,FALSE
267,TRUE,FALSE
27,TRUE,FALSE
282,TRUE,FALSE
29,FALSE,TRUE
310,TRUE,FALSE
34,TRUE,FALSE
342,TRUE,FALSE
344,TRUE,FALSE
345,TRUE,FALSE
346,TRUE,FALSE
347,TRUE,FALSE
348,TRUE,FALSE
35,TRUE,FALSE
357,TRUE,TRUE
359,TRUE,TRUE
361,FALSE,TRUE
375,FALSE,TRUE
384,TRUE,FALSE
405,TRUE,FALSE
406,TRUE,FALSE
407,FALSE,TRUE
408,TRUE,FALSE
409,FALSE,TRUE
41,TRUE,TRUE
424,FALSE,TRUE
428,TRUE,FALSE
429,FALSE,TRUE
433,TRUE,FALSE
438,TRUE,TRUE
439,TRUE,FALSE
441,FALSE,TRUE
444,FALSE,TRUE
447,TRUE,FALSE
448,TRUE,FALSE
449,TRUE,FALSE
45,TRUE,TRUE
450,FALSE,TRUE
451,TRUE,FALSE
452,FALSE,TRUE
453,TRUE,FALSE
454,FALSE,TRUE
456,FALSE,TRUE
458,TRUE,FALSE
459,TRUE,FALSE
462,FALSE,TRUE
463,FALSE,TRUE
466,TRUE,FALSE
468,TRUE,FALSE
469,FALSE,TRUE
47,TRUE,FALSE
470,FALSE,TRUE
471,FALSE,TRUE
472,TRUE,FALSE
474,TRUE,FALSE
475,FALSE,TRUE
476,FALSE,TRUE
477,TRUE,FALSE
478,TRUE,FALSE
479,TRUE,FALSE
480,TRUE,FALSE
481,TRUE,FALSE
482,TRUE,FALSE
483,TRUE,FALSE
484,TRUE,FALSE
486,TRUE,FALSE
487,TRUE,FALSE
488,TRUE,FALSE
489,TRUE,FALSE
49,TRUE,FALSE
491,TRUE,FALSE
494,TRUE,FALSE
7,TRUE,FALSE
8,TRUE,FALSE
94,FALSE,TRUE
