ID_F5_parent,seed_count_germinated,seed_count_total,has_fungi,has_strong_fungi,dormtest_start,dormtest_end,group,run,Notes,seed_count_total_with_black_seeds
34-1,1,67,0,0,2025-05-13,2025-05-20,1,1,,67
487-12,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
450-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
462-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
173-8,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
409-4,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
451-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
34-6,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
104-10,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
35-8,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
264-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
441-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
191-6,6,52,1,0,2025-05-13,2025-05-20,1,1,,52
183-17,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
34-15,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
469-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
206-3,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
448-4,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
471-4,3,117,0,0,2025-05-13,2025-05-20,1,1,,117
466-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
114-4,2,24,0,0,2025-05-13,2025-05-20,1,1,,24
429-1,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
233-19,1,58,0,0,2025-05-13,2025-05-20,1,1,,58
484-21,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
35-17,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
45-7,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
456-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
424-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
258-18,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
1-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
213-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
361-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
409-15,10,69,0,0,2025-05-13,2025-05-20,1,1,,69
113-1,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
482-12,1,141,0,0,2025-05-13,2025-05-20,1,1,,141
7-2,5,87,1,0,2025-05-13,2025-05-20,1,1,,88
105-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
206-1,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
241-2,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
476-7,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
489-17,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
1-12,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
483-13,1,92,1,0,2025-05-13,2025-05-20,1,1,,95
472-3,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
438-7,4,97,0,0,2025-05-13,2025-05-20,1,1,,97
441-4,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
347-3,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
29-2,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
438-4,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
471-7,1,75,0,0,2025-05-13,2025-05-20,1,1,,75
348-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
184-6,1,80,1,0,2025-05-13,2025-05-20,1,1,,81
458-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
479-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
438-2,1,152,1,0,2025-05-13,2025-05-20,1,1,,154
471-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
433-4,13,136,1,0,2025-05-13,2025-05-20,1,1,,144
24-8,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
213-5,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
468-12,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
183-4,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
233-7,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
27-5,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
27-12,2,120,0,0,2025-05-13,2025-05-20,1,1,,120
344-1,25,54,1,0,2025-05-13,2025-05-20,1,1,,56
384-10,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
466-4,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
27-6,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
475-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
361-1,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
263-8,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
258-20,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
255-4,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
359-5,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
478-14,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
191-8,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
267-17,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
7-7,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
489-19,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
488-16,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
469-4,1,123,0,0,2025-05-13,2025-05-20,1,1,,123
480-7,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
494-3,1,142,0,0,2025-05-13,2025-05-20,1,1,,142
41-15,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
439-13,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
342-18,1,130,1,0,2025-05-13,2025-05-20,1,1,,133
19-5,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
267-7,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
450-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
357-13,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
491-9,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
29-6,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
122-18,1,79,0,0,2025-05-13,2025-05-20,1,1,,79
47-5,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
451-4,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
450-1,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
472-2,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
345-14,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
167-3,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
406-14,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
468-5,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
206-2,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
169-4,2,97,1,0,2025-05-13,2025-05-20,1,1,,103
483-7,8,77,1,0,2025-05-13,2025-05-20,1,1,,81
444-2,0,na,1,0,2025-05-13,2025-05-20,1,1,,na
454-9,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
494-18,0,na,0,0,2025-05-13,2025-05-20,1,1,,na
474-15,1,91,0,0,2025-05-13,2025-05-20,1,1,,91
168-10,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
348-12,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
405-6,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
480-11,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
452-9,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
35-5,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
447-9,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
182-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
159-6,1,50,0,0,2025-05-14,2025-05-21,2,1,,50
203-3,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
102-11,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
104-17,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
408-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
347-8,1,55,0,0,2025-05-14,2025-05-21,2,1,,55
47-17,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
357-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
265-19,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
255-3,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
258-3,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
453-2,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
120-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
344-19,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
405-17,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
106-2,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
408-2,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
1-7,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
49-5,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
449-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
172-12,1,39,0,0,2025-05-14,2025-05-21,2,1,,39
34-5,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
165-8,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
1-10,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
428-17,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
424-3,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
359-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
428-2,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
406-9,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
456-5,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
456-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
45-6,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
233-17,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
122-14,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
342-8,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
179-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
167-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
122-13,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
310-13,1,79,0,0,2025-05-14,2025-05-21,2,1,,79
173-7,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
438-8,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
444-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
19-3,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
102-12,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
384-14,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
466-2,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
344-2,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
49-17,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
104-7,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
481-6,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
180-10,1,77,1,0,2025-05-14,2025-05-21,2,1,,79
41-8,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
345-5,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
462-2,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
265-16,1,57,0,0,2025-05-14,2025-05-21,2,1,,57
8-15,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
478-15,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
191-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
187-5,1,64,0,0,2025-05-14,2025-05-21,2,1,,64
177-16,1,23,0,0,2025-05-14,2025-05-21,2,1,,23
347-16,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
267-19,1,80,0,0,2025-05-14,2025-05-21,2,1,,80
184-16,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
184-8,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
203-7,1,51,0,0,2025-05-14,2025-05-21,2,1,,51
479-17,2,33,1,0,2025-05-14,2025-05-21,2,1,,33
169-6,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
41-9,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
448-6,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
232-18,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
264-11,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
463-10,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
458-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
454-6,1,114,1,0,2025-05-14,2025-05-21,2,1,,115
478-17,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
19-1,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
282-2,1,95,0,0,2025-05-14,2025-05-21,2,1,,95
407-8,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
179-2,0,na,1,0,2025-05-14,2025-05-21,2,1,,na
94-4,0,na,0,0,2025-05-14,2025-05-21,2,1,,na
