ID,Leaf_shape,Leaf_edge,n_shoot_axis,Tray,Row,Column,Comments
494-18,L,G,6,1,1,1,
494-19,Na,Na,Na,1,1,2,Diff spec.
472-5,Na,Na,4,1,1,3,
472-6,Na,Na,5,1,1,4,
494-20,O,G,1,1,1,5,
494-13,L,S,5,1,1,6,
495-1,Na,Na,4,1,2,1,
495-2,Na,Na,1,1,2,2,May not produce seeds
472-1,L,G,4,1,2,3,
494-14,O,G,4,1,2,4,
494-7,Na,Na,1,1,2,5,May not produce seeds
494-6,Na,Na,5,1,2,6,
494-15,O,G,6,1,3,1,
494-16,Na,Na,Na,1,3,2,Diff spec.
494-17,Na,Na,1,1,3,3,Diff spec?
494-9,L,S,7,1,3,4,
494-2,O,S,7,1,3,5,
494-3,L,S,7,1,3,6,
494-4,Na,Na,6,1,4,1,
494-12,L,S,8,1,4,2,
493-1,Na,S,1,1,4,3,
491-21,O,G,6,1,4,4,
492-2,Na,Na,6,1,4,5,
Na,L,S,6,1,4,6,No label
491-10,O,G,7,1,5,1,
494-1,L,Na,5,1,5,2,
491-11,O,G,4,1,5,3,
491-18,O,G,3,1,5,4,
491-20,O,G,4,1,5,5,
494-10,Na,Na,5,1,5,6,
489-14,L,S,5,1,6,1,
488-12,L,S,3,1,6,2,
488-13,Na,Na,5,1,6,3,
488-3,L,S,5,1,6,4,
488-4,Na,Na,1,1,6,5,
488-5,O,G,6,1,6,6,
490-2,O,S,6,1,7,1,
491-1,O,G,4,1,7,2,
491-2,O,G,5,1,7,3,
491-3,Na,Na,4,1,7,4,
491-4,Na,Na,Na,1,7,5,Spec unclear; about 3 mm tall
491-8,L,S,3,1,7,6,
491-9,O,G,6,1,8,1,
491-6,O,G,5,1,8,2,
491-5,O,G,3,1,8,3,
491-15,O,G,6,1,8,4,
491-13,O,G,4,1,8,5,
491-7,O,G,6,1,8,6,
489-15,L,S,2,2,1,1,
489-16,O,G,5,2,1,2,
489-18,O,G,4,2,1,3,
489-17,O,G,4,2,1,4,
489-19,O,G,5,2,1,5,
489-20,O,G,4,2,1,6,
489-4,L,G,6,2,2,1,
489-5,L,G,5,2,2,2,
489-7,L,G,4,2,2,3,
489-6,O,G,5,2,2,4,
489-10,O,G,4,2,2,5,
489-8,O,G,4,2,2,6,
489-9,O,G,5,2,3,1,
488-20,L,S,6,2,3,2,
488-21,O,S,5,2,3,3,
489-12,Na,Na,4,2,3,4,
489-1,L,G,4,2,3,5,
489-2,L,G,6,2,3,6,
488-14,O,S,5,2,4,1,
489-3,O,S,6,2,4,2,
489-11,O,G,5,2,4,3,
488-15,L,G,3,2,4,4,
488-16,O,S,4,2,4,5,
489-13,O,G,5,2,4,6,
488-17,O,S,4,2,5,1,
488-18,O,G,4,2,5,2,
488-9,O,G,5,2,5,3,
488-19,Na,Na,Na,2,5,4,
488-10,O,G,3,2,5,5,
488-11,O,S,6,2,5,6,
489-14,L,S,5,2,6,1,
488-12,O,G,4,2,6,2,
488-13,O,G,3,2,6,3,
488-3,L,S,4,2,6,4,
488-4,O,G,5,2,6,5,
488-5,O,G,3,2,6,6,
488-6,O,S,5,2,7,1,
488-7,O,S,6,2,7,2,
488-8,O,G,5,2,7,3,
487-18,O,G,4,2,7,4,
487-19,O,G,4,2,7,5,
487-12,O,G,4,2,7,6,
487-20,O,G,3,2,8,1,
488-1,Na,Na,6,2,8,2,
488-2,L,G,3,2,8,3,
487-13,Na,Na,3,2,8,4,
487-14,L,G,4,2,8,5,
487-15,O,G,4,2,8,6,
487-16,O,G,4,3,1,1,
487-17,O,G,4,3,1,2,
487-7,Na,Na,6,3,1,3,
487-8,L,G,3,3,1,4,
487-9,O,G,3,3,1,5,
487-10,Na,Na,Na,3,1,6,
487-11,L,G,4,3,2,1,
487-1,O,G,4,3,2,2,
487-2,O,G,3,3,2,3,
487-3,O,G,6,3,2,4,
487-4,O,G,5,3,2,5,
487-6,L,G,5,3,2,6,
487-5,O,G,4,3,3,1,
